                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0123,                0.67215,                 1.0629,                0.88991,                 0.7133,                0.83695,                0.45629,                 1.5407,                0.99258,                 1.4145,               0.007756,               0.007756,               0.007756
                     36,                0.99979,                0.68371,                 1.0635,                0.90065,                   0.75,                0.82383,                0.48423,                 1.5769,                0.92956,                  1.529,                0.00769,                0.00769,                0.00769
                     37,                0.97237,                0.65946,                 1.0479,                0.79753,                0.81098,                0.82794,                0.44883,                 1.6477,                0.93135,                 1.5006,               0.007624,               0.007624,               0.007624
                     38,                0.98972,                0.66187,                 1.0518,                0.88026,                0.76471,                0.84988,                0.45542,                 1.5583,                0.98232,                 1.4471,               0.007558,               0.007558,               0.007558
                     39,                0.94809,                0.63929,                 1.0479,                0.85093,                0.80882,                0.85204,                0.47164,                   1.57,                 0.8961,                 1.4596,               0.007492,               0.007492,               0.007492
                     40,                0.96911,                0.64708,                 1.0638,                0.88807,                0.81683,                0.86947,                0.43827,                 1.6097,                0.91797,                 1.5424,               0.007426,               0.007426,               0.007426
                     41,                0.96022,                0.62229,                 1.0458,                0.94696,                0.78768,                0.85878,                0.44984,                 1.5901,                0.99411,                  1.447,                0.00736,                0.00736,                0.00736
                     42,                0.92997,                0.60499,                 1.0287,                0.90892,                0.73378,                0.82698,                 0.4124,                 1.7468,                 1.0355,                 1.5763,               0.007294,               0.007294,               0.007294
                     43,                 0.9459,                0.62218,                 1.0486,                0.83837,                0.72059,                0.80665,                0.39396,                 1.7824,                0.97817,                 1.5702,               0.007228,               0.007228,               0.007228
                     44,                0.95176,                0.63137,                 1.0286,                0.81918,                0.82353,                0.85109,                0.48416,                 1.5574,                0.93644,                 1.4705,               0.007162,               0.007162,               0.007162
                     45,                0.93565,                0.62157,                 1.0299,                0.85088,                0.86765,                0.91984,                0.46443,                 1.5464,                0.80281,                  1.448,               0.007096,               0.007096,               0.007096
                     46,                0.90256,                0.59191,                 1.0187,                0.93194,                0.80551,                0.90932,                0.51444,                 1.4895,                0.85738,                 1.4309,                0.00703,                0.00703,                0.00703
                     47,                0.90159,                0.60238,                 1.0291,                0.91918,                0.83627,                0.90384,                0.48955,                 1.6001,                0.83276,                  1.489,               0.006964,               0.006964,               0.006964
                     48,                0.93076,                0.59764,                 1.0397,                0.86287,                0.83288,                0.87643,                0.46213,                 1.6123,                0.89125,                 1.4659,               0.006898,               0.006898,               0.006898
                     49,                0.89853,                0.59711,                 1.0217,                0.86888,                0.83824,                0.86549,                0.48424,                 1.5643,                0.77322,                 1.4812,               0.006832,               0.006832,               0.006832
                     50,                0.88992,                0.58817,                 1.0297,                 0.9106,                0.77941,                0.87221,                0.46147,                  1.603,                0.88456,                 1.5005,               0.006766,               0.006766,               0.006766
                     51,                0.89606,                0.58486,                 1.0143,                 0.8282,                0.85076,                0.88102,                 0.4657,                 1.5861,                0.90569,                  1.506,                 0.0067,                 0.0067,                 0.0067
                     52,                 0.8758,                0.58213,                 1.0118,                0.87039,                0.76471,                0.86771,                0.47782,                 1.5291,                0.86651,                 1.4447,               0.006634,               0.006634,               0.006634
                     53,                  0.863,                0.56899,                 1.0072,                0.88889,                   0.75,                0.86247,                0.48094,                 1.5412,                0.88005,                 1.4756,               0.006568,               0.006568,               0.006568
